Nom complet;Sexe;Âge;Niveau d'éducation;Expérience (années);Secteur souhaité;Salaire espéré;Type de contrat souhaité;Statut d'emploi
Marthe Weber;Femme;27;Master;4;Construction;39000;CDD (Contrat à Durée Déterminée);0
André Rivière;Homme;35;Master;7;Finance;42000;CDI (Contrat à Durée Indéterminée);0
Alexandre Sanchez du Guilbert;Homme;45;Licence;27;Éducation;50000;Indépendant/Freelance;1
Franck Gaillard;Homme;42;Licence;15;Éducation;45000;Indépendant/Freelance;1
Théophile Vincent;Homme;58;Licence;24;Construction;50000;Indépendant/Freelance;1
Gabriel Collet;Homme;38;Licence;13;Finance;43000;Indépendant/Freelance;0
Yves Bodin;Homme;53;Licence;25;IT;50000;Indépendant/Freelance;1
Paul Devaux;Homme;26;Licence;8;Éducation;38000;CDI (Contrat à Durée Indéterminée);0
Antoinette-Marcelle Renaud;Femme;45;Licence;19;IT;49000;Indépendant/Freelance;1
Stéphanie Michaud;Femme;30;Licence;6;Finance;36000;CDI (Contrat à Durée Indéterminée);0
Hugues Marie;Homme;56;Licence;11;Éducation;41000;Indépendant/Freelance;1
Marcel Adam;Homme;59;Master;7;Finance;42000;CDI (Contrat à Durée Indéterminée);1
Jacques Garnier;Homme;25;Licence;7;IT;37000;CDI (Contrat à Durée Indéterminée);0
Anaïs de Sanchez;Femme;34;Licence;16;IT;46000;Indépendant/Freelance;0
Éléonore Morin;Femme;41;Licence;23;Finance;50000;Indépendant/Freelance;1
Alexandria Lefèvre;Femme;52;Licence;25;Construction;50000;Indépendant/Freelance;1
Claudine Brunet;Femme;63;Master;39;Santé;55000;Indépendant/Freelance;1
Adrien du Faure;Homme;32;Master;7;Construction;42000;CDI (Contrat à Durée Indéterminée);0
Grégoire-Édouard Hebert;Homme;37;Licence;12;Construction;42000;Indépendant/Freelance;0
Vincent-François Perrot;Homme;26;Master;8;Éducation;43000;CDI (Contrat à Durée Indéterminée);0
Denise Perrin;Femme;60;Master;38;Éducation;55000;Indépendant/Freelance;1
Odette Thomas;Femme;37;Master;6;Finance;41000;CDI (Contrat à Durée Indéterminée);0
Chantal Lambert;Femme;34;Master;16;Santé;51000;Indépendant/Freelance;0
Susanne Fontaine;Femme;31;Master;13;Éducation;48000;Indépendant/Freelance;0
Franck Pereira-Raynaud;Homme;49;Master;5;Santé;40000;CDI (Contrat à Durée Indéterminée);0
Georges Le Goff;Homme;59;Licence;6;Santé;36000;CDI (Contrat à Durée Indéterminée);1
Philippe Deschamps;Homme;35;Master;17;Éducation;52000;Indépendant/Freelance;0
Yves Collet-Langlois;Homme;53;Master;30;Construction;55000;Indépendant/Freelance;1
Bernard Menard;Homme;24;Master;4;Construction;39000;CDD (Contrat à Durée Déterminée);0
Antoine Gillet;Homme;53;Licence;11;Éducation;41000;Indépendant/Freelance;1
Maurice Pierre de la Marty;Homme;51;Licence;4;IT;34000;CDD (Contrat à Durée Déterminée);1
Véronique Legrand;Femme;51;Master;16;Construction;51000;Indépendant/Freelance;1
Lorraine Baron;Femme;22;Licence;4;Construction;34000;CDD (Contrat à Durée Déterminée);0
Éric Leconte;Homme;50;Master;32;Finance;55000;Indépendant/Freelance;1
Robert Barthelemy;Homme;30;Licence;9;Éducation;39000;CDI (Contrat à Durée Indéterminée);0
